2016/06/16 05:51:20.348165:	RESET
2016/06/16 05:57:37.082937:	//+Hk5HocoGBMH8WBHJkdHIxd/+Eop2mVDowOBYEREdTVAQwdMZlWJZEJGxV74fT
2016/06/16 05:57:37.084514:	zSHkSapXS8YgIv4/f/+8dWE9o+YrUBpwMGS7KkD1IS7SuNMc/4SqrYpZCzAJFgRF
2016/06/16 05:57:37.097518:	S0VZAQH//4SqwaRPCzAJFgRFUFJPAQEA/4SqzYpDCzAJFgRFU0VDAQH//4eTlcZt
2016/06/16 05:57:37.097787:	gYEwfxYEcmVjbTF3/4SinaZUOjA4FgRER1NUBDBtQgArBjnMlTiRMRblr7ogEvEa
2016/06/16 05:57:37.100924:	4Y+ZKAgkBWDw8IqLfuC7rHgAmchtuL3SQobCuyf/hKqtilk
2016/06/16 05:57:37.114005:	LMAkWBEVLRVkBAf//
2016/06/16 05:57:37.115063:	hKrBpE8LMAkWBEVQUk8BAQD/hKrNikMLMAkWBEVTRUMBAf//h5OZ6GFxMG8WBHJm
2016/06/16 05:57:37.116783:	dGExZ/+Eop2mVCowKBYEREdTVAQgVWfGvoq9yv8AjQAe1ZVRScQcPfwXVq8BFOOE
2016/06/16 05:57:37.133170:	x83BQR//hKqtilkLMAkWBEVLRVkBAf//hKrBpE8LMAkWBEVQUk8BAQD/hKrNikML
2016/06/16 05:57:37.133908:	MAkWBEVTRUMBAf//h5OZ6HNxMG8WBHJmdHMxZ/+Eop2mVCowKBYEREdTVAQgVWfG
2016/06/16 05:57:37.145745:	voq9yv8AjQAe1ZVRScQcPfwXVq8BFOOEx83BQR//hKqtilkLMAkWBEVLRVkBAf//
2016/06/16 05:57:37.146158:	hKrBpE8LMAkWBEVQUk8BAQD/hKrNikMLMAkWBEVTRUMBAQD/h5Ot5G6BgTB/FgRy
2016/06/16 05:57:37.147387:	a3JuMXf/hKKdplQ6MDgWBERHU1QEMC+VEQj+NJjih1hzN857CHnPDI2TJGnwy0jQ
2016/06/16 05:57:37.162003:	umjqPGA9nKrQB1dxokyFapgFfbVK7f+Eqq2KWQswCRYERUtFWQEB//+EqsGkTwsw
2016/06/16 05:57:37.162250:	CRYERVBSTwEBAP+Eqs2KQwswCRYERVNFQwEB//+Hk7HOb4GBMH8WBHJsZ28xd/+E
2016/06/16 05:57:37.162431:	op2mVDowOBYEREdTVAQw24u3f74pQuQoFZssMaUm9Mq7RAdntVc2LaBpaFYODFT3
2016/06/16 05:57:37.179973:	hxAN9WlxzCvqpv6wbalV/4SqrYpZCzAJFgRFS0VZAQH//4SqwaRPCzAJFgRFUFJP
2016/06/16 05:57:37.180287:	AQEA/4SqzYpDCzAJFgRFU0VDAQH//4eTveZpgYEwfxYEcm9zaTF3/4SinaZUOjA4
2016/06/16 05:57:37.195294:	FgRER1NUBDAPw6Cp+OvfCgmU6AIbMF9mqM7MwQIQyy/yYTLTBBU9Mnq3UMydcGQy
2016/06/16 05:57:37.198432:	T5EQd9SFEpv/hKqtilkLMAkWBEVLRVkBAf//hKrBpE8LMAkWBEVQUk8BAQD/hKrN
2016/06/16 05:57:37.200181:	ikMLMAkWBEVTRUMBAf//h5PNynCBpzCBpBYEcnNlcDGBm/+Eop2mVDowOBYEREdT
2016/06/16 05:57:37.211188:	VAQwtj+wrhtOOZ/+Fdr0YZCc/NKdOMl0RKh5rwNxtl8nqgrqNR+xpc7cyrjYsV0s
2016/06/16 05:57:37.212782:	96fY/4SizYpDCzAJFgREU0VDAQH//4SqrYpZCzAJFgRFS0VZAQH//4SqwaRPCzAJ
2016/06/16 05:57:37.214331:	FgRFUFJPAQEA/4SqzYpDCzAJFgRFU0VDAQEA/4arzdJjCzAJFgRlc2ljAQH//4eb
2016/06/16 05:57:37.225903:	leBpgZUwgZIWBHNlcGkxgYn/hKKdplQ6MDgWBERHU1QEMOK7W30D1d3+Q7tQ/mLF
2016/06/16 05:57:37.229978:	bidI4VU6Nbj4crMo/RtG9YSDrPhM2FzoLJ91Ly8tstsuGf+Eos2KQwswCRYERFNF
2016/06/16 05:57:37.243629:	QwEB//+Eqq2KWQswCRYERUtFWQEB//+EqsGkTwswCRYERVBSTwEBAP+Eqs2KQwsw
2016/06/16 05:57:37.245419:	CRYERVNFQwEBADAKBggqhkjOPQQDAgNHADBEAiAMkz+gusvWLpgu0oo5FILcZlGy
2016/06/16 05:57:37.247202:	yyI6KoQmzXSSlS3jRQIgBuoG7XLoFE8tNjseDht79CRYgeFmneQq+E82LQ5yOgY=
2016/06/16 05:57:37.259972:	-----END CERTIFICATE REQUEST-----
2016/06/16 05:57:37.274323:	-[AMSupportURLConnectionDelegate initWithData:Options:]: init-ing delegate with data=<CFData 0x15fd36bf0 [0x100e9a9d8]>{length = 0, capacity = 16, bytes = 0x} options=<CFBasicHash 0x15fd2d4d0 [0x100e9a9d8]>{type = mutable dict, count = 3,
2016/06/16 05:57:37.275916:	entries =>
2016/06/16 05:57:37.278187:		0 : <CFString 0x100145b50 [0x100e9a9d8]>{contents = "TrustedServerCAs"} = (
2016/06/16 05:57:37.580226:	    <308205b2 3082039a a0030201 02020900 d534310a e0ed95af 300d0609 2a864886 f70d0101 05050030 44311330 11060355 0408130a 43616c69 666f726e 69613113 30110603 55040a13 0a417070 6c652049 6e632e31 18301606 03550403 130f4644 522d434d 2d53534c 2d524f4f 54301e17 0d313430 36303830 39303434 395a170d 33343036 30333039 30343439 5a304431 13301106 03550408 130a4361 6c69666f 726e6961 31133011 06035504 0a130a41 70706c65 20496e63 2e311830 16060355 0403130f 4644522d 434d2d53 534c2d52 4f4f5430 82022230 0d06092a 864886f7 0d010101 05000382 020f0030 82020a02 82020100 bccf2bed a3f37bca f56f0bad bbf49301 3ed7b07e 03274c51 a065956e 2a5cb470 62567122 d8ba37cd a1a6af42 7cce225c a1d92de8 bbb2b778 e7f7462e 45d63a55 8252031e 012af468 6188b303 410dc2b7 15d84b24 c6e84598 3e095109 0a3edd7b af588332 1921c5ae 40fc67be 831f80a5 d4bd87d5 f5a661a4 e1832c5c 7b22ecd9 78960711 73a7ac69 d303f19a da51fcba 1ecbfa66 d7ef1623 2e679111 f0b3e608 b517a2a4 329a3176 007795c6 0b7b6128 b914e586 7b21bcce c5862f1b 53d746cd 081ae525 a1757520 e2e4aabe 0ac34aaf 092021e6 73a6d94b 04f30cb1 5e60a72a 975ee6e4 06468fc5 ab9edaef 20ebb7f9 0fb403c1 37324e9c ea96ac6a 7c4c0ba8 064ac250 2f9413f6 653ccc43 678692eb 41b54427 62e39df9 eb5f7cdd 641c8b5b a8df6080 6e777d78 6411e5a6 6dcf372a 93944bf7 9ad607d2 29cedcfa cd2d14e1 b7bc3465 abc91c23 18986677 2af80369 8350f39f 875130b4 8727541d b639560a 1041feef 82b71460 401193f7 43b6d811 5c878bd2 7ca8f0a7 504ecfab fa092c81 c4672b53 18bb26d9 b8d78452 fa7a7dba 11b2368b ba4e94e6 781b5d7c 4deac73d 95e1fbd3 a704e439 f7f5b9fb 829bb575 c7b4c108 5a21df7e 157a99ef e8c782a1 07eef33d 6fb93286 22c841af 45dfdff5 11fedf70 aa52effe 012cea7f a5c691bc 65120f52 f7b8976b 2d9f7445 b57a0b3c 19fab227 094aa4c0 591f9e78 8768e2a1 02030100 01a381a6 3081a330 1d060355 1d0e0416 04142532 6bc5c2b8 a2ba14b7 42865faf 0bfa8e9d 7bd03074 0603551d 23046d30 6b801425 326bc5c2 b8a2ba14 b742865f af0bfa8e 9d7bd0a1 48a44630 44311330 11060355 0408130a 43616c69 666f726e 69613113 30110603 55040a13 0a417070 6c652049 6e632e31 18301606 03550403 130f4644 522d434d 2d53534c 2d524f4f 54820900 d534310a e0ed95af 300c0603 551d1304 05300301 01ff300d 06092a86 4886f70d 01010505 00038202 0100781d fde6ddc2 ac583865 1c84e3d7 e4238fd0 8952c041 35225817 af1d1ad1 14736428 4870bf10 3dd16f69 2a1af3f9 5f67746c b81d874f 2097d01f 6fbcc589 ed150e8a 21be40b1 ff2a7eff 9d00de8d b7ae6937 03de2738 edd3127b 0f9223eb 9008dead 2a1259fb 9ef01a68 db5c12d4 dea8473b 742dc3c0 9d012491 ea794b7d 5ac61637 8d958623 c239fbbf 66c10ad7 72b2339a fb7f5c55 58fdc832 599d1a1d 9b10183e aca2b9ad af193a1c 8b4a0380 6cd5ba9f b09d176e aefbb899 62f83ae4 010f5322 5555a2d5 ae74a5e3 dd1d8939 f562cee3 dd7f2b50 80b69fe9 5f250721 428af2d5 4bff0423 0708392e 46815124 e4ce4318 4cb90e38 d4154673 503a6eda 859cca69 e517e117 759b0cc4 b8b58781 fcfc26fa 7b77458e 20504880 d68e155e 9612ca90 64c02a14 355f0367 a04d52ca ea4235ff ff215de4 49798b54 3660b08b 36e51199 686a9881 45cbe572 218808f8 7fbf1294 b12672e3 624b6b3a ea0868cf dac82393 b7c7e54e e22766af f1f808f0 60c31af8 80cc4c9a 71e748f7 b3d6c35c e8420e1f 645760e0 de9e6ad5 f4a1cf93 32c6dc17 dbc88018 dcb918e2 28aad511 2a61e007 e06c97d5 7208d2e7 2b2d4af6 273022b0 195d010e 17fa7d13 99a3dbcd 0e4f1017 dd395696 b3bf283e ae0c1d68 ffa71f23 edfd7efa 1d964180 7062709c 76abddfd fe1f0892 dbc5a559 0653ff10 7cb51eda aa19a238 20daf0ec 27ff48e8 6636>
2016/06/16 05:57:37.581739:	)
2016/06/16 05:57:37.593486:		1 : <CFString 0x100145af0 [0x100e9a9d8]>{contents = "SocksProxySettings"} = <CFBasicHash 0x15fe27100 [0x100e9a9d8]>{type = mutable dict, count = 2,
2016/06/16 05:57:37.594316:	entries =>
2016/06/16 05:57:37.610893:		0 : <CFString 0x100e74660 [0x100e9a9d8]>{contents = "SOCKSProxy"} = <CFString 0x100168c30 [0x100e9a9d8]>{contents = "127.0.0.1"}
2016/06/16 05:57:37.611892:		1 : <CFString 0x100e74680 [0x100e9a9d8]>{contents = "SOCKSPort"} = <CFNumber 0xb000000000004392 [0x100e9a9d8]>{value = +1081, type = kCFNumberSInt32Type}
2016/06/16 05:57:37.612585:	}
2016/06/16 05:57:37.613792:	
2016/06/16 05:57:37.625966:		2 : <CFString 0x100145b10 [0x100e9a9d8]>{contents = "Timeout"} = <CFNumber 0xb0000000000003c2 [0x100e9a9d8]>{value = +60, type = kCFNumberSInt32Type}
2016/06/16 05:57:37.626959:	}
2016/06/16 05:57:37.627708:	
2016/06/16 05:57:37.643118:	failed to load Security.framework/Versions/Current/Security: dlopen(Security.framework/Versions/Current/Security, 261): image not found
2016/06/16 05:57:37.658749:	libAMSupportLoadLibrary: Security Framework does not have expected symbols, aborting. (null)
2016/06/16 05:57:37.674826:	Jun 15 21:56:07 PurpleReverseProxy[7] <Notice>: RPSocket.cpp:135(reset_stats): Reset stats for <RPSocket 0x103d062a0: Host-6ceaf08722221a704516dde9 fd=12> after reading 10 bytes and writing 135 bytes
2016/06/16 05:57:37.711538:	Jun 15 21:56:07 PurpleReverseProxy[7] <Notice>: RPSocket.cpp:676(RPSocketExchangeData): Beginning data exchange:   <RPSocket 0x103d062a0: Host-6ceaf08722221a704516dde9 fd=12>  <==>  <RPSocket 0x103e00660: Client-6ceaf08722221a704516dde9 fd=11>
2016/06/16 05:57:37.834137:	-[AMSupportURLConnectionDelegate connection:didReceiveResponse:]: Received response from URL: <NSHTTPURLResponse: 0x15fd10c50> { URL: https://fdruca.apple.com:8443/ca/authorize } { status code: 200, headers {
2016/06/16 05:57:37.850537:	    "Content-Length" = 7026;
2016/06/16 05:57:37.851567:	    "Content-Type" = "application/x-pem-file";
2016/06/16 05:57:37.853098:	    Date = "Wed, 15 Jun 2016 21:57:37 GMT";
2016/06/16 05:57:37.853828:	    Server = "Apache-Coyote/1.1";
2016/06/16 05:57:37.867366:	    "x-fdr-request-uuid" = "988CD2F7-8A73-41BD-B51E-24BFAE1C7FE1";
2016/06/16 05:57:37.869306:	    "x-fdr-server-info" = "pgpd-habanero-ca3.apple.com 17.238.226.63";
2016/06/16 05:57:37.871366:	    "x-fdr-server-time" = "Wed Jun 15 09:57:37 UTC 2016";
2016/06/16 05:57:37.883117:	} }
2016/06/16 05:57:37.884262:	-[AMSupportURLConnectionDelegate connection:didReceiveData:]: Receiving 7026 bytes of data from URL
2016/06/16 05:57:37.898222:	-[AMSupportURLConnectionDelegate connectionDidFinishLoading:]: Finished loading URL.  Total bytes: 7026
2016/06/16 05:57:37.899401:	-[AMSupportURLConnectionDelegate dealloc]: dealloc-ing delegate
2016/06/16 05:57:37.914475:	_AMFDRHttpMessageSendSync: ^^^^^^^^^^^^^^^^^^^^^^^^^ END httpRequest ^^^^^^^^^^^^^^^^^^^^^^^^^
2016/06/16 05:57:37.915659:	_AMFDRHttpMessageSendSync: vvvvvvvvvvvvvvvvvvvvvvvvv BEGIN httpResponse vvvvvvvvvvvvvvvvvvvvvvvvv
2016/06/16 05:57:37.931267:	_AMFDRHttpLogResponse: header count=7 status=200
2016/06/16 05:57:37.932516:	_AMFDRHttpLogResponse: Server: Apache-Coyote/1.1
2016/06/16 05:57:37.945711:	_AMFDRHttpLogResponse: Content-Type: application/x-pem-file
2016/06/16 05:57:37.946873:	_AMFDRHttpLogResponse: x-fdr-request-uuid: 988CD2F7-8A73-41BD-B51E-24BFAE1C7FE1
2016/06/16 05:57:37.962761:	_AMFDRHttpLogResponse: x-fdr-server-info: pgpd-habanero-ca3.apple.com 17.238.226.63
2016/06/16 05:57:37.964253:	_AMFDRHttpLogResponse: Date: Wed, 15 Jun 2016 21:57:37 GMT
2016/06/16 05:57:37.966229:	_AMFDRHttpLogResponse: x-fdr-server-time: Wed Jun 15 09:57:37 UTC 2016
2016/06/16 05:57:37.977603:	_AMFDRHttpLogResponse: Content-Length: 7026
2016/06/16 05:57:37.979031:	_AMFDRHttpLogResponse: -----BEGIN CERTIFICATE-----
2016/06/16 05:57:37.980462:	MIIUGDCCE7ugAwIBAgILFiDCMKAhOldhzq0wDAYIKoZIzj0EAwIFADA+MRMwEQYD
2016/06/16 05:57:37.993722:	VQQIEwpDYWxpZm9ybmlhMRMwEQYDVQQKEwpBcHBsZSBJbmMuMRIwEAYDVQQDEwlT
2016/06/16 05:57:37.995630:	RVAtQ0EtRTEwHhcNMTYwNjE1MjE0NDUzWhcNMzEwNjEyMjE1NDUzWjB+MQswCQYD
2016/06/16 05:57:37.997229:	VQQGEwJVUzETMBEGA1UECBMKQ2FsaWZvcm5pYTETMBEGA1UEChMKQXBwbGUgSW5j
2016/06/16 05:57:38.010919:	LjEhMB8GA1UECxMYU0VQIERldmljZSBDZXJ0aWZpY2F0aW9uMSIwIAYDVQQDExkw
2016/06/16 05:57:38.012836:	MDAwODAxMC0wMDE2MjBDMjMwQTAyMTNBMFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcD
2016/06/16 05:57:38.025623:	QgAE7RtjthUE3lOeucCZLdljtrFlOsjIdlevoH9gv6q1Bx/uj+QLd3gOpO7fk/wL
2016/06/16 05:57:38.029313:	WWQS3YI4v74aWP7zJp+8pM9tLqOCElwwghJYMIISJQYJKoZIhvdjZAYIAQH/BIIS
2016/06/16 05:57:38.030578:	EzCCEg8WBElNNE0CAQAxghIC/4TqhZxCghH5MIIR9RYETUFOQjGCEev/hOqFnFCC
2016/06/16 05:57:38.042074:	AWQwggFgFgRNQU5QMYIBVv+EkrmGSCowKBYEQk5DSAQgBQc0ddoBXMWhuQBuhr3V
2016/06/16 05:57:38.043173:	+bP4MRD0CVlPb6VZTLFLyqX/hJK9pEQLMAkWBEJPUkQCAQz/hJqVoE8LMAkWBENF
2016/06/16 05:57:38.060002:	UE8CAQH/hJqhklANMAsWBENISVACAwCAEP+EmsGkTwswCRYEQ1BSTwEBAP+Ems2K
2016/06/16 05:57:38.070456:	QwswCRYEQ1NFQwEB//+Eqo2SRBEwDxYERUNJRAIHFiDCMKAhOv+FmpGeTQswCRYE
2016/06/16 05:57:38.071249:	U0RPTQIBAf+Gq8HmZQswCRYEZXBzZQEB//+Gs4XqcwswCRYEZmF1cwEB//+Hg83W
2016/06/16 05:57:38.079560:	aSowKBYEcHNraQQgg9xOVaJZHAZi28FaIlM5Aj6qoDg6WfqEwUzIxgWnOmr/h5u5
2016/06/16 05:57:38.097086:	3m4eMBwWBHNub24EFF7RA4fgjNpAgZGj+H0gbb/paP6G/4ebyexuHjAcFgRzcnZu
2016/06/16 05:57:38.104130:	BBQx+phBdDFhnagxZ//ZSP2s1dedaf+Gi73gZm8wbRYEYW9wZjFl/4SinaZUOjA4
2016/06/16 05:57:38.111827:	FgRER1NUBDDgZYii/2WGI2rAF1ScK/kyYGS6Y0nxbfWUDRd3XWk9qLKDupOO6zZg
2016/06/16 05:57:38.120328:	tUy/sf9CSjL/hKrBpE8LMAkWBEVQUk8BAQD/hKrNikMLMAkWBEVTRUMBAf//hpOF
2016/06/16 05:57:38.126102:	6DCBgTB/FgRiYXQwMXf/hKKdplQ6MDgWBERHU1QEMMXZLaxzC/jzi9sm1N53vwDb
2016/06/16 05:57:38.132494:	LTCS+xHOEAM1RYN/YuDz9xLoddrIAxM6SVkhBhmfW/+Eqq2KWQswCRYERUtFWQEB
2016/06/16 05:57:38.138544:	//+EqsGkTwswCRYERVBSTwEBAP+Eqs2KQwswCRYERVNFQwEB//+Gk4XoMYGBMH8W
2016/06/16 05:57:38.148633:	BGJhdDExd/+Eop2mVDowOBYEREdTVAQwpD8CUNwKZzEm23f8AnV76U4YDAtj52gr
2016/06/16 05:57:38.154586:	dDKoIKFXFSLb02NlBD1HtbJArwG63ERc/4SqrYpZCzAJFgRFS0VZAQH//4SqwaRP
2016/06/16 05:57:38.161647:	CzAJFgRFUFJPAQEA/4SqzYpDCzAJFgRFU0VDAQH//4aThehGgYEwfxYEYmF0RjF3
2016/06/16 05:57:38.162958:	/4SinaZUOjA4FgRER1NUBDBG9NG3d5FIlGlNhFa1Hah0LAMh+/kjzp29KCJ/0z2l
2016/06/16 05:57:38.176719:	BNh0XIjhoLubpY7pRI4M9Mj/hKqtilkLMAkWBEVLRVkBAf//hKrBpE8LMAkWBEVQ
2016/06/16 05:57:38.184260:	Uk8BAQD/hKrNikMLMAkWBEVTRUMBAf//hpuZymxvMG0WBGNmZWwxZf+Eop2mVDow
2016/06/16 05:57:38.184396:	OBYEREdTVAQw4N8NQJod28eN425iAhiAX7NcjPbFEyUDDkRLQtbQNrv40Y2vk99g
2016/06/16 05:57:38.184485:	/GpN/35DjA7d/4SqwaRPCzAJFgRFUFJPAQEA/4SqzYpDCzAJFgRFU0VDAQH//4ab
2016/06/16 05:57:38.184540:	oc4wgYEwfxYEY2hnMDF3/4SinaZUOjA4FgRER1NUBDCCz/8Jun7+qVevqW9kZbI0
2016/06/16 05:57:38.184598:	2xqeArB4j2N3l8SuMH6yeqjATE1CX2bpjgyZDh0WOAb/hKqtilkLMAkWBEVLRVkB
2016/06/16 05:57:38.189025:	Af//hKrBpE8LMAkWBEVQUk8BAQD/hKrNikMLMAkWBEVTRUMBAf//hpuhzjGBgTB/
2016/06/16 05:57:38.189116:	FgRjaGcxMXf/hKKdplQ6MDgWBERHU1QEMKF7Z9N/jWHr7Aa33MeToXNJ5rzOhYbo
2016/06/16 05:57:38.189257:	mr9/lGQYq7Njc3X0W0CySM4xRVpvIWXT3P+Eqq2KWQswCRYERUtFWQEB//+EqsGk
2016/06/16 05:57:38.203801:	TwswCRYERVBSTwEBAP+Eqs2KQwswCRYERVNFQwEB//+Go6XCZ28wbRYEZGlhZzFl
2016/06/16 05:57:38.203872:	/4SinaZUOjA4FgRER1NUBDBI42Y/cBCZadhwxacxh86xgVfvwNJvVoQFw+Bm2NTq
2016/06/16 05:57:38.203935:	OTEUa3NlB+UCL64MEGtt2KT/hKrBpE8LMAkWBEVQUk8BAQD/hKrNikMLMAkWBEVT
2016/06/16 05:57:38.218488:	RUMBAf//hqPR5GWBgTB/FgRkdHJlMXf/hKKdplQ6MDgWBERHU1QEMKEzKmbsmv6w
2016/06/16 05:57:38.218625:	O3bw0o078KVOynVkDzHw74j+W01gVKYtfN7uDJ0C5pBq3U8VvFBPMf+Eqq2KWQsw
2016/06/16 05:57:38.237595:	CRYERUtFWQEB//+EqsGkTwswCRYERVBSTwEBAP+Eqs2KQwswCRYERVNFQwEB//+G
2016/06/16 05:57:38.237837:	s9HCcHEwbxYEZnRhcDFn/4SinaZUKjAoFgRER1NUBCBVZ8a+ir3K/wCNAB7VlVFJ
2016/06/16 05:57:38.237971:	xBw9/BdWrwEU44THzcFBH/+Eqq2KWQswCRYERUtFWQEB//+EqsGkTwswCRYERVBS
2016/06/16 05:57:38.249432:	TwEBAP+Eqs2KQwswCRYERVNFQwEB//+Gs9HmcHEwbxYEZnRzcDFn/4SinaZUKjAo
2016/06/16 05:57:38.249523:	FgRER1NUBCBVZ8a+ir3K/wCNAB7VlVFJxBw9/BdWrwEU44THzcFBH/+Eqq2KWQsw
2016/06/16 05:57:38.249655:	CRYERUtFWQEB//+EqsGkTwswCRYERVBSTwEBAP+Eqs2KQwswCRYERVNFQwEBAP+G
2016/06/16 05:57:38.268509:	u7HyUIGBMH8WBGdseVAxd/+Eop2mVDowOBYEREdTVAQwKD+xzCLq2yyhhVOWoUVj
2016/06/16 05:57:38.268682:	1x/fMrT/rwfj9pv/TsiLsmYpDmOr7RGsDGkJP65XIn4+/4SqrYpZCzAJFgRFS0VZ
2016/06/16 05:57:38.281336:	AQH//4SqwaRPCzAJFgRFUFJPAQEA/4SqzYpDCzAJFgRFU0VDAQH//4bDtdpybzBt
2016/06/16 05:57:38.281406:	FgRobW1yMWX/hKKdplQ6MDgWBERHU1QEMMnWpBTLRRfdBzYi7xjc4tdo/+YZSOeJ
2016/06/16 05:57:38.281463:	3TGy82CkPmdWOuWNQYWnunMh1jDP9G0f6P+EqsGkTwswCRYERVBSTwEBAP+Eqs2K
2016/06/16 05:57:38.301949:	QwswCRYERVNFQwEB//+Gw73acm8wbRYEaG9tcjFl/4SinaZUOjA4FgRER1NUBDBD
2016/06/16 05:57:38.302029:	6XdhufHJR+h2a7mC1hiqYGitRq8CiMqqi63Wh5DXsi5nj8S40gWILj1D+x4PVwz/
2016/06/16 05:57:38.314764:	hKrBpE8LMAkWBEVQUk8BAQD/hKrNikMLMAkWBEVTRUMBAf//hsuJymOBgTB/FgRp
2016/06/16 05:57:38.314884:	YmVjMXf/hKKdplQ6MDgWBERHU1QEMNP5IEK9x/8pc9ZfAhx+g15PLM5FcV6sUuMC
2016/06/16 05:57:38.315017:	1OPotM5a0pqOzpI8OFBRZKqpl1CgKv+Eqq2KWQswCRYERUtFWQEB//+EqsGkTwsw
2016/06/16 05:57:38.330513:	CRYERVBSTwEBAP+Eqs2KQwswCRYERVNFQwEB//+Gy4nedIGBMH8WBGlib3Qxd/+E
2016/06/16 05:57:38.331731:	op2mVDowOBYEREdTVAQwdlpFyv9kDo9clG7vGvoC3sing31oM7Ibnqy4ZMQciu6D
2016/06/16 05:57:38.332593:	WA+GT0WqjYtd/AkMeBXz/4SqrYpZCzAJFgRFS0VZAQH//4SqwaRPCzAJFgRFUFJP
2016/06/16 05:57:38.345399:	AQEA/4SqzYpDCzAJFgRFU0VDAQH//4bLieZzgYEwfxYEaWJzczF3/4SinaZUOjA4
2016/06/16 05:57:38.346288:	FgRER1NUBDAQR/+8y3Ve8RpFWqDNz5v3i1P5UBUYm0SBM94l8VlHO8J78J8z5KSO
2016/06/16 05:57:38.355198:	JVmUgknn3Q3/hKqtilkLMAkWBEVLRVkBAf//hKrBpE8LMAkWBEVQUk8BAQ
2016/06/16 05:57:38.363614:	D/hKrN
2016/06/16 05:57:38.364395:	ikMLMAkWBEVTRUMBAf//hsux2GKBgTB/FgRpbGxiMXf/hKKdplQ6MDgWBERHU1QE
2016/06/16 05:57:38.365411:	MPEgGnrqG+7NQbrPEJ+cVudRvm6BytYVaTMlsAvntL6ZEZHS0c/mNaa+W2DoJ1gf
2016/06/16 05:57:38.379347:	j/+Eqq2KWQswCRYERUtFWQEB//+EqsGkTwswCRYERVBSTwEBAP+Eqs2KQwswCRYE
2016/06/16 05:57:38.380182:	RVNFQwEB//+G473Ob4GBMH8WBGxvZ28xd/+Eop2mVDowOBYEREdTVAQw1ePPFXvn
2016/06/16 05:57:38.381142:	AFmcba2lSnw5V9Ov2XSkxJuhNsBmK9HdQV2QSw/i3DQu7bKAWuFGyEO//4SqrYpZ
2016/06/16 05:57:38.393925:	CzAJFgRFS0VZAQH//4SqwaRPCzAJFgRFUFJPAQEA/4SqzYpDCzAJFgRFU0VDAQH/
2016/06/16 05:57:38.394852:	/4eDleR0bzBtFgRwZXJ0MWX/hKKdplQ6MDgWBERHU1QEMBRtPGtnBXZJbbhZJHTT
2016/06/16 05:57:38.409941:	M+9C4nPe32YEQ7uStrCFoaKxaaPTE7VxU19tSfbul6AtVf+EqsGkTwswCRYERVBS
2016/06/16 05:57:38.410785:	TwEBAP+Eqs2KQwswCRYERVNFQwEB//+Hg6HYdG8wbRYEcGhsdDFl/4SinaZUOjA4
2016/06/16 05:57:38.411549:	FgRER1NUBDCaGjQngODpsDERfPM2Ivo2utHr2hkw/O5WJO60rK6ozo69Vj/g31U8
2016/06/16 05:57:38.428552:	0kSm3KrGcKL/hKrBpE8LMAkWBEVQUk8BAQD/hKrNikMLMAkWBEVTRUMBAf//h5OJ
2016/06/16 05:57:38.429960:	2nRvMG0WBHJibXQxZf+Eop2mVDowOBYEREdTVAQwtgNmK+WD+mmVmOpQsGZZnwJU
2016/06/16 05:57:38.431289:	Gc21ikQYF7+2mP6VBG5LRH0icau4aaph9ZxHWpp2/4SqwaRPCzAJFgRFUFJPAQEA
2016/06/16 05:57:38.443903:	/4SqzYpDCzAJFgRFU0VDAQH//4eTkeZrgYEwfxYEcmRzazF3/4SinaZUOjA4FgRE
2016/06/16 05:57:38.444607:	R1NUBDDPlAAUBiztvNqTVfDpZK5EElSyD+7pe8VEhFSpaYsXs3DnWz0n9MLCG0o1
2016/06/16 05:57:38.458383:	HDy1hyL/hKqtilkLMAkWBEVLRVkBAf//hKrBpE8LMAkWBEVQUk8BAQD/hKrNikML
2016/06/16 05:57:38.459453:	MAkWBEVTRUMBAf//h5OR6HKBgTB/FgRyZHRyMXf/hKKdplQ6MDgWBERHU1QEMHTG
2016/06/16 05:57:38.460219:	ZViWRCRsVe+H080h5EmqV0vGICL+P3//vHVhPaPmK1AacDBkuypA9SEu0rjTHP+E
2016/06/16 05:57:38.477894:	qq2KWQswCRYERUtFWQEB//+EqsGkTwswCRYERVBSTwEBAP+Eqs2KQwswCRYERVNF
2016/06/16 05:57:38.478911:	QwEB//+Hk5XGbYGBMH8WBHJlY20xd/+Eop2mVDowOBYEREdTVAQwbUIAKwY5zJU4
2016/06/16 05:57:38.492552:	kTEW5a+6IBLxGuGPmSgIJAVg8PCKi37gu6x4AJnIbbi90kKGwrsn/4SqrYpZCzAJ
2016/06/16 05:57:38.494832:	FgRFS0VZAQH//4SqwaRPCzAJFgRFUFJPAQEA/4SqzYpDCzAJFgRFU0VDAQH//4eT
2016/06/16 05:57:38.497713:	mehhcTBvFgRyZnRhMWf/hKKdplQqMCgWBERHU1QEIFVnxr6Kvcr/AI0AHtWVUUnE
2016/06/16 05:57:38.508252:	HD38F1avARTjhMfNwUEf/4SqrYpZCzAJFgRFS0VZAQH//4SqwaRPCzAJFgRFUFJP
2016/06/16 05:57:38.511581:	AQEA/4SqzYpDCzAJFgRFU0VDAQH//4eTmehzcTBvFgRyZnRzMWf/hKKdplQqMCgW
2016/06/16 05:57:38.514271:	BERHU1QEIFVnxr6Kvcr/AI0AHtWVUUnEHD38F1avARTjhMfNwUEf/4SqrYpZCzAJ
